00157A	Print Sales Tax on Bill	PrintSalesTaxOnBill
00157B	Print Tax Break up on Bill	PrintTaxBreakUpOnBill
00157C	Print Bill Type in the Main Heading of Bill (Cash Or Credit)	BillPrintMainHeading
00157D	40 Column POS Printed Used	PosPrinter40Col
00157E	Customer Display Unit Present	CustDisplayOn
00157F	String displayed on Customer Display Unit	CustDisplayString
00157G	Port Number used for Customer Display Unit	CustDisplayPort
00157H	Is Size Wise Enabled In GIR/GOR	IsSizeWiseEnabled
00158A	FlatFile1	FlatFile1
00158B	FlatFileId1	FlatFileId1
00158C	Subject of Mail	MsgString1
00159A	FlatFile2	FlatFile2
00159B	FlatFileId2	FlatFileId2
00159C	Subject of Mail	MsgString2
00160A	FlatFile3	FlatFile3
00160B	FlatFileId3	FlatFileId3
00160C	Subject of Mail	MsgString3
00161A	User Name for Mail	UserName
00161B	User Password for Mail	UserPassword
00162A	Printer Supports Reverse Line Feed	PrinterSupportsReverseLF
00162B	No of Lines to be Reversed	LinesToBeReversed
00163A	Payin Slip Stationery	PSlipPrePrint
00164A	Service Item Size Group ID	ServiceItemSizeGroup
00164B	Service Item SizeCode Srl No	ServiceItemSizeCdSrl
00165C	Default Entry Mode For Transactions	DefaultTrnEntryMode
00165D	Item Details Printed in Audit Trial	ItemDetailsInAuditTrial
00165E	System Counter Number	VaSysCounter
00165F	Shoper-Care Client Installed	VaCareClientInstalled
00165G	ReUse Same Credit Note Or Issue New Credit Note for balance value in Old Credit Note	ReUseCreditNote
00166A	Allow customer classfications if customer code is not chosen	AcceptDemography
00167A	Customer Demography#1 Present	Demography1Present
00167B	Caption For Customer Demography#1	Demography1Caption
00168A	Customer Demography#2 Present	Demography2Present
00168B	Caption For Customer Demography#2	Demography2Caption
00169A	Customer Demography#3 Present	Demography3Present
00169B	Caption For Customer Demography#3	Demography3Caption
00170A	Customer Demography#4 Present	Demography4Present
00170B	Caption For Customer Demography#4	Demography4Caption
00171A	Customer Demography#5 Present	Demography5Present
00171B	Caption For Customer Demography#5	Demography5Caption
00172A	Shop Prefix For Expected Transaction	ShopPrefix
00173A	Re-Call Transaction(Slips) Loading Present In Billing	ReCallTransPresent
00200A	Item Browse Description String Formation - 1	BrowseDescString1
00200B	Item Browse Description String Formation - 2	BrowseDescString2
00200c	Display Current Quantity in Item Browse for Billing	DisplayCurQtyInBrowse
00200D	Maximum Rows in Item Browse	BrowseMaxRows
00200E	Default Sorting Order Field in Item Browse	DefaultSortingOrderFieldInIB
00200F	Code And Desc Order For Classfn Fields Displayed in Item Browse	ShowCodeAndDescOrderInIB
00200G	Delimiting Char For Code And Desc Display In Items Browse	DelimitCharForCodeDescInIB
00200H	Default Search Field in Item Browse	DefaultSearchFldInClassiBrowse
00200X	Activate New Customer Browse	ActivateNewCustBrowse
00200Y	Customer Browse Description String - 1	CBrowseDescString1
00200Z	Customer Browse Description String - 2	CBrowseDescString2
00201A	Advanced Query - Browse Description String - 1	AdvQryBrowseDescString1
00201B	Advanced Query - Browse Description String - 2	AdvQryBrowseDescString2
00201C	Browse Display Cur Qty For Items-Advanced Query	AdvQryCurQtyInBrowse
00201X	Primary Cust Browse Field Selection - Adv. Query	CBrowseFieldSeleString1
